m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2020	LMEL	2	60009	1	1	1			2	0.415																																																																						
4	2020	LMEL	2	60009	1	2	1			2	0.37																																																																						
4	2020	LMEL	2	60009	1	3	1			2	0.305																																																																						
4	2020	LMEL	2	60009	1	4	1			2	0.365																																																																						
4	2020	LMEL	2	60009	1	5	1			2	0.385																																																																						
4	2020	LMEL	2	60009	1	6	1			2	0.305																																																																						
4	2020	LMEL	2	60009	1	7	1			2	0.275																																																																						
4	2020	LMEL	2	60009	1	8	1			2	0.24																																																																						
4	2020	LMEL	2	60009	1	9	1			2	0.32																																																																						
4	2020	LMEL	2	60009	1	10	1			2	0.26																																																																						
4	2020	LMEL	2	60009	1	11	1			2	0.395																																																																						
4	2020	LMEL	2	60009	1	12	1			2	0.34																																																																						
4	2020	LMEL	2	60009	1	13	1			2	0.3																																																																						
4	2020	LMEL	2	60009	1	14	1			2	0.32																																																																						
4	2020	LMEL	2	60009	1	15	1			2	0.235																																																																						
4	2020	LMEL	2	60009	1	16	1			2	0.355																																																																						
4	2020	LMEL	2	60009	1	17	1			2	0.25																																																																						
4	2020	LMEL	2	60009	1	18	1			2	0.27																																																																						
4	2020	LMEL	2	60009	1	19	1			2	0.28																																																																						
4	2020	LMEL	2	60009	1	20	1			2	0.24																																																																						
4	2020	LMEL	2	60009	1	21	1			2	0.135																																																																						
4	2020	LMEL	2	60009	2	1	1			2	0.16																																																																						
4	2020	LMEL	2	60009	3	1	1			2	0.1																																																																						
4	2020	LMEL	2	60009	4	1	1			2	0.2																																																																						
4	2020	LMEL	2	60009	4	2	1			2	0.195																																																																						
4	2020	LMEL	2	60009	5	1	1			2	0.205																																																																						
4	2020	LMEL	2	60009	5	2	1			2	0.135																																																																						
4	2020	LMEL	2	60009	5	3	1			2	0.185																																																																						
4	2020	LMEL	2	60009	5	4	1			2	0.105																																																																						
4	2020	LMEL	2	60009	5	5	1			2	0.11																																																																						
4	2020	LMEL	2	60009	5	6	1			2	0.16																																																																						
4	2020	LMEL	2	60009	5	7	1			2	0.11																																																																						
4	2020	LMEL	2	60009	5	8	1			2	0.13																																																																						
4	2020	LMEL	2	60009	5	9	1			2	0.13																																																																						
4	2020	LMEL	2	60009	5	10	1			2	0.205																																																																						
4	2020	LMEL	2	60009	5	11	1			2	0.105																																																																						
4	2020	LMEL	2	60009	5	12	1			2	0.185																																																																						
4	2020	LMEL	2	60009	5	13	1			2	0.19																																																																						
4	2020	LMEL	2	60009	5	14	1			2	0.2																																																																						
4	2020	LMEL	2	60009	5	15	1			2	0.155																																																																						
4	2020	LMEL	2	60009	5	16	1			2	0.12																																																																						
4	2020	LMEL	2	60009	5	17	1			2	0.125																																																																						
4	2020	LMEL	2	60009	5	18	1			2	0.12																																																																						
4	2020	LMEL	2	60009	5	19	1			2	0.115																																																																						
4	2020	LMEL	2	60009	5	20	1			2	0.145																																																																						
4	2020	LMEL	2	60009	5	21	1			2	0.19																																																																						
4	2020	LMEL	2	60009	5	22	1			2	0.135																																																																						
4	2020	LMEL	2	60009	5	23	1			2	0.155																																																																						
4	2020	LMEL	2	60009	6	1	1			2	0.105																																																																						
4	2020	LMEL	2	60009	7	1	1			3	0.83																																																																						
4	2020	LMEL	2	60009	8	1	1			3	0.53																																																																						
4	2020	LMEL	2	60009	8	2	1			3	0.7																																																																						
4	2020	LMEL	2	60009	9	1	1			2	0.165																																																																						
4	2020	LMEL	2	60009	9	2	1			2	0.255																																																																						
4	2020	LMEL	2	60009	11	1	1	0.36		2	0.335			2	2	2																																																																	0.9364426154549611
4	2020	LMEL	2	60009	11	2	1	0.16		2	0.27			2	2	2																																																																	0.7907158835825299
4	2020	LMEL	2	60009	11	3	1	0.27		2	0.305			1	2	2																																																																	0.9285994109197486
4	2020	LMEL	2	60009	11	4	1	0.23		2	0.29			1	2	2																																																																	0.9190734590690759
4	2020	LMEL	2	60009	11	5	1	0.135		2	0.245			2	2	2																																																																	0.890447171438907
4	2020	LMEL	2	60009	11	6	1			2	0.27																																																																						
4	2020	LMEL	2	60009	13	1	1			2	0.165																																																																						
4	2020	LMEL	2	60009	13	2	1			2	0.095																																																																						
4	2020	LMEL	2	60009	13	3	1			2	0.095																																																																						
4	2020	LMEL	2	60009	13	4	1			2	0.09																																																																						
4	2020	LMEL	2	60009	13	5	1			2	0.08																																																																						
4	2020	LMEL	2	60009	13	6	1			2	0.085																																																																						
4	2020	LMEL	2	60009	13	7	1			2	0.085																																																																						
4	2020	LMEL	2	60009	13	8	1			2	0.085																																																																						
4	2020	LMEL	2	60009	13	9	1			2	0.045																																																																						
4	2020	LMEL	2	60009	13	10	1			2	0.05																																																																						
4	2020	LMEL	2	60009	13	11	1			2	0.09																																																																						
4	2020	LMEL	2	60009	13	12	1			2	0.045																																																																						
4	2020	LMEL	2	60009	13	13	1			2	0.025																																																																						
4	2020	LMEL	2	60009	14	1	1			2	0.085																																																																						
4	2020	LMEL	2	60009	14	2	1			2	0.05																																																																						
4	2020	LMEL	2	60009	14	3	1			2	0.065																																																																						
4	2020	LMEL	2	60009	25	1	1	0.255		2	0.3			2	3	3																		2	2	0	1		4																1																										0.9212214538477648
4	2020	LMEL	2	60009	25	2	1	0.305		2	0.315			1	1	1																		2			1		4																1																										0.9529467877833394
4	2020	LMEL	2	60009	25	3	1	0.27		2	0.32			1	2	2																		2	2	0	1		4																1																										0.8049605695096029
4	2020	LMEL	2	60009	25	4	1	0.23		2	0.29			1	2	2																		3	2	1	1		4																1																										0.9190734590690759
4	2020	LMEL	2	60009	25	5	1	0.185		2	0.28			2	2	2																		2	2	0	1		4																1																										0.8205713921367914
4	2020	LMEL	2	60009	25	6	1	0.08		2	0.195			2	1	1																		1			1		4																1																										1.0384574039781844
4	2020	LMEL	2	60009	25	7	1	0.285		2	0.315			2	3	3																		2	2	0	1		4																1																										0.8904584738303335
4	2020	LMEL	2	60009	25	8	1	0.065		2	0.205			2	1	1																		1			1		4																1																										0.7275436482466373
